Hour,Sensor_ID,Temperature,Light_Intensity,Status
10,S3,34.604681489707524,251.53033917374387,1
2,S2,24.119872768093245,394.753375929332,0
14,S3,32.605766553438606,249.45663520251296,1
0,S2,23.11246001880132,403.5845361820962,0
10,S4,35.62299376374354,243.6917900609256,1
4,S1,19.70241192968269,387.7155616873424,0
1,S1,19.102817170732912,392.9527156438912,0
14,S3,30.95037433263542,251.59660565547924,1
3,S2,18.87490828622692,402.2526411724755,0
12,S3,33.673040312077966,245.81464266660512,1
15,S4,30.192175669674647,269.2562612746194,1
2,S1,20.563185468861604,404.9986412374037,0
7,S1,18.39372064748811,411.0082139842261,0
12,S4,33.45669042613908,249.016636578075,1
15,S3,35.24329519190264,260.95449484508947,0
4,S1,23.701795924335944,402.3278674294016,0
2,S1,23.785194676598618,401.4506374595938,0
2,S1,20.71290033536508,382.6879869655508,0
12,S4,31.000729193775037,240.0189608905223,1
11,S4,28.35920390385633,264.43300010129786,1
3,S2,22.097720140651408,402.4930859564173,0
7,S2,22.042543153472124,383.6952675628486,0
4,S2,22.177315181922875,403.2078572593268,0
10,S4,29.149644470998588,244.884147947937,1
5,S1,22.350422837817025,421.69936588080543,0
15,S4,32.60525526305963,247.9531763187988,1
10,S4,34.41898898728956,239.3484398590464,1
6,S2,21.539198571588464,378.0387217890005,0
5,S1,23.506683242209064,409.3219156426039,0
3,S2,22.3536417442788,398.6993970644638,0
4,S1,19.969811616344263,387.4213184409112,0
10,S3,33.415429765732256,251.6238318513305,1
2,S1,18.858247695863,406.8206949006264,0
14,S3,33.75827664807908,248.07046010400236,1
2,S2,25.404429889270475,407.7740735276451,0
2,S1,21.216702865156417,393.8587743499168,0
14,S4,31.567791257633363,265.3132680231423,1
3,S2,25.45392770246681,407.3249210277981,0
4,S1,24.57950550816549,411.3562014718294,0
4,S1,22.99937022060587,411.1683377552996,0
6,S1,20.84697919854656,412.1795915230556,0
0,S2,22.827598194903,414.816634024626,0
7,S1,20.34623929192028,392.1624647887557,0
2,S1,22.84812208892818,400.7814306296965,0
15,S4,29.48317033887016,250.89784964419133,0
12,S4,28.588728099675222,242.3105837510608,1
14,S4,33.59922325211249,249.67647246329307,1
7,S2,20.492070822266648,389.9144531592379,0
14,S3,35.651994423482094,252.6017189033645,1
9,S4,32.19273848011999,264.5008704217575,1
3,S2,21.74490175924493,394.1407232668224,0
10,S4,30.15156207203997,229.90459944828527,1
0,S1,20.05386211823689,406.8135951044295,1
16,S4,30.2567956036854,243.61497975722796,1
0,S2,24.780415098034627,417.3885135185333,0
12,S4,29.797032486046085,239.5219018162177,1
6,S1,20.29718713147937,399.11908755970927,0
0,S1,21.06937908643989,405.22250636017776,0
12,S4,31.426015628418003,237.0401997935223,1
6,S1,22.49300955686401,392.7192290214468,0
7,S2,18.633123615558095,405.05965553455866,0
3,S2,20.754701276531097,408.8140752892357,0
0,S1,20.41516015800008,400.45222708999984,0
3,S2,26.112414259880644,398.8377095687805,1
5,S1,20.614189604408185,415.32367724678113,0
4,S2,22.52250106246771,398.4870077976748,0
1,S1,23.1292118517872,406.71531171729055,0
6,S2,25.038567847283534,411.27780250633896,0
16,S4,34.164707746324616,256.1909647805155,1
6,S1,21.951608787218166,405.22142545933934,0
